Cenário Projeção;natureza;ICAO;Sentido;Ano;Passageiros
Observado;domestico;SBAX;Total;2019;2015,0
Observado;domestico;SBAX;Total;2020;597,0
Observado;domestico;SBAX;Total;2023;2356,0
Observado;domestico;SBAX;Total;2024;18742,0
Observado;domestico;SBBE;Total;2004;1261588,0
Observado;domestico;SBBE;Total;2005;1417668,0
Observado;domestico;SBBE;Total;2006;1668411,0
Observado;domestico;SBBE;Total;2007;1985768,0
Observado;domestico;SBBE;Total;2008;1991083,0
Observado;domestico;SBBE;Total;2009;2104542,0
Observado;domestico;SBBE;Total;2010;2609159,0
Observado;domestico;SBBE;Total;2011;2868301,0
Observado;domestico;SBBE;Total;2012;3243601,0
Observado;domestico;SBBE;Total;2013;3350999,0
Observado;domestico;SBBE;Total;2014;3685962,0
Observado;domestico;SBBE;Total;2015;3542404,0
Observado;domestico;SBBE;Total;2016;3052288,0
Observado;domestico;SBBE;Total;2017;3097873,0
Observado;domestico;SBBE;Total;2018;3321199,0
Observado;domestico;SBBE;Total;2019;3429540,0
Observado;domestico;SBBE;Total;2020;1974422,0
Observado;domestico;SBBE;Total;2021;2628865,0
Observado;domestico;SBBE;Total;2022;3163870,0
Observado;domestico;SBBE;Total;2023;3391453,0
Observado;domestico;SBBE;Total;2024;3859047,0
Observado;domestico;SBBG;Total;2006;0,0
Observado;domestico;SBBG;Total;2008;0,0
Observado;domestico;SBBG;Total;2010;33,0
Observado;domestico;SBBG;Total;2011;8,0
Observado;domestico;SBBG;Total;2019;635,0
Observado;domestico;SBBG;Total;2020;575,0
Observado;domestico;SBBG;Total;2021;971,0
Observado;domestico;SBBG;Total;2022;1767,0
Observado;domestico;SBBG;Total;2023;722,0
Observado;domestico;SBBG;Total;2024;206,0
Observado;domestico;SBBR;Total;2004;6469488,0
Observado;domestico;SBBR;Total;2005;7528922,0
Observado;domestico;SBBR;Total;2006;8241122,0
Observado;domestico;SBBR;Total;2007;9494268,0
Observado;domestico;SBBR;Total;2008;10834052,0
Observado;domestico;SBBR;Total;2009;12279696,0
Observado;domestico;SBBR;Total;2010;14400411,0
Observado;domestico;SBBR;Total;2011;15537281,0
Observado;domestico;SBBR;Total;2012;16552493,0
Observado;domestico;SBBR;Total;2013;16678170,0
Observado;domestico;SBBR;Total;2014;17710500,0
Observado;domestico;SBBR;Total;2015;18848771,0
Observado;domestico;SBBR;Total;2016;17135749,0
Observado;domestico;SBBR;Total;2017;16272763,0
Observado;domestico;SBBR;Total;2018;17309063,0
Observado;domestico;SBBR;Total;2019;16207727,0
Observado;domestico;SBBR;Total;2020;7432183,0
Observado;domestico;SBBR;Total;2021;9289693,0
Observado;domestico;SBBR;Total;2022;13044676,0
Observado;domestico;SBBR;Total;2023;14269901,0
Observado;domestico;SBBR;Total;2024;14431230,0
Observado;domestico;SBBV;Total;2004;101153,0
Observado;domestico;SBBV;Total;2005;129368,0
Observado;domestico;SBBV;Total;2006;139708,0
Observado;domestico;SBBV;Total;2007;201741,0
Observado;domestico;SBBV;Total;2008;199040,0
Observado;domestico;SBBV;Total;2009;173217,0
Observado;domestico;SBBV;Total;2010;217626,0
Observado;domestico;SBBV;Total;2011;312068,0
Observado;domestico;SBBV;Total;2012;310480,0
Observado;domestico;SBBV;Total;2013;355477,0
Observado;domestico;SBBV;Total;2014;368501,0
Observado;domestico;SBBV;Total;2015;339741,0
Observado;domestico;SBBV;Total;2016;283898,0
Observado;domestico;SBBV;Total;2017;284109,0
Observado;domestico;SBBV;Total;2018;310825,0
Observado;domestico;SBBV;Total;2019;345997,0
Observado;domestico;SBBV;Total;2020;192055,0
Observado;domestico;SBBV;Total;2021;284423,0
Observado;domestico;SBBV;Total;2022;369111,0
Observado;domestico;SBBV;Total;2023;397157,0
Observado;domestico;SBBV;Total;2024;451337,0
Observado;domestico;SBBW;Total;2004;30,0
Observado;domestico;SBBW;Total;2005;382,0
Observado;domestico;SBBW;Total;2006;383,0
Observado;domestico;SBBW;Total;2007;18,0
Observado;domestico;SBBW;Total;2012;54,0
Observado;domestico;SBBW;Total;2013;0,0
Observado;domestico;SBBW;Total;2014;0,0
Observado;domestico;SBBW;Total;2016;4189,0
Observado;domestico;SBBW;Total;2017;21738,0
Observado;domestico;SBBW;Total;2018;16138,0
Observado;domestico;SBBW;Total;2019;12688,0
Observado;domestico;SBBW;Total;2020;3070,0
Observado;domestico;SBBW;Total;2021;2739,0
Observado;domestico;SBBW;Total;2022;2281,0
Observado;domestico;SBBW;Total;2023;1339,0
Observado;domestico;SBBW;Total;2024;1827,0
Observado;domestico;SBCA;Total;2004;37733,0
Observado;domestico;SBCA;Total;2005;36605,0
Observado;domestico;SBCA;Total;2006;39669,0
Observado;domestico;SBCA;Total;2007;56705,0
Observado;domestico;SBCA;Total;2008;74158,0
Observado;domestico;SBCA;Total;2009;76295,0
