airport_id;ano;total_movimento;cenario;conexao;demanda_liquida_aeroporto;uf
SBAX;2005;21892,0;Observado;0,0;21892,0;MG
SBAX;2006;26380,0;Observado;0,0;26380,0;MG
SBAX;2007;26097,0;Observado;0,0;26097,0;MG
SBAX;2008;31288,0;Observado;0,0;31288,0;MG
SBAX;2009;23262,0;Observado;0,0;23262,0;MG
SBAX;2010;11829,0;Observado;0,0;11829,0;MG
SBAX;2011;30618,0;Observado;0,0;30618,0;MG
SBAX;2012;37967,0;Observado;0,0;37967,0;MG
SBAX;2013;39747,0;Observado;0,0;39747,0;MG
SBAX;2014;13938,0;Observado;0,0;13938,0;MG
SBAX;2015;16619,0;Observado;0,0;16619,0;MG
SBAX;2016;3666,0;Observado;0,0;3666,0;MG
SBAX;2017;3006,0;Observado;0,0;3006,0;MG
SBAX;2018;1972,0;Observado;0,0;1972,0;MG
SBAX;2019;2015,0;Observado;0,0;2015,0;MG
SBAX;2020;597,0;Observado;0,0;597,0;MG
SBAX;2023;2356,0;Observado;0,0;2356,0;MG
SBAX;2024;18742,0;Observado;0,0;18742,0;MG
SBBE;2004;1261588,0;Observado;0,0;1261588,0;PA
SBBE;2005;1417668,0;Observado;0,0;1417668,0;PA
SBBE;2006;1668411,0;Observado;0,0;1668411,0;PA
SBBE;2007;1985768,0;Observado;0,0;1985768,0;PA
SBBE;2008;1991083,0;Observado;0,0;1991083,0;PA
SBBE;2009;2104542,0;Observado;0,0;2104542,0;PA
SBBE;2010;2609159,0;Observado;0,0;2609159,0;PA
SBBE;2011;2868301,0;Observado;0,0;2868301,0;PA
SBBE;2012;3243601,0;Observado;0,0;3243601,0;PA
SBBE;2013;3350999,0;Observado;0,0;3350999,0;PA
SBBE;2014;3685962,0;Observado;0,0;3685962,0;PA
SBBE;2015;3542404,0;Observado;0,0;3542404,0;PA
SBBE;2016;3052288,0;Observado;0,0;3052288,0;PA
SBBE;2017;3097873,0;Observado;0,0;3097873,0;PA
SBBE;2018;3321199,0;Observado;0,0;3321199,0;PA
SBBE;2019;3429540,0;Observado;0,0;3429540,0;PA
SBBE;2020;1974422,0;Observado;0,0;1974422,0;PA
SBBE;2021;2628865,0;Observado;0,0;2628865,0;PA
SBBE;2022;3163870,0;Observado;0,0;3163870,0;PA
SBBE;2023;3391453,0;Observado;0,0;3391453,0;PA
SBBE;2024;3859047,0;Observado;0,0;3859047,0;PA
SBBR;2004;6469488,0;Observado;0,0;6469488,0;DF
SBBR;2005;7528922,0;Observado;0,0;7528922,0;DF
SBBR;2006;8241122,0;Observado;0,0;8241122,0;DF
SBBR;2007;9494268,0;Observado;0,0;9494268,0;DF
SBBR;2008;10834052,0;Observado;0,0;10834052,0;DF
SBBR;2009;12279696,0;Observado;0,0;12279696,0;DF
SBBR;2010;14400411,0;Observado;0,0;14400411,0;DF
SBBR;2011;15537281,0;Observado;0,0;15537281,0;DF
SBBR;2012;16552493,0;Observado;0,0;16552493,0;DF
SBBR;2013;16678170,0;Observado;0,0;16678170,0;DF
SBBR;2014;17710500,0;Observado;0,0;17710500,0;DF
SBBR;2015;18848771,0;Observado;0,0;18848771,0;DF
SBBR;2016;17135749,0;Observado;0,0;17135749,0;DF
SBBR;2017;16272763,0;Observado;0,0;16272763,0;DF
SBBR;2018;17309063,0;Observado;0,0;17309063,0;DF
SBBR;2019;16207727,0;Observado;0,0;16207727,0;DF
SBBR;2020;7432183,0;Observado;0,0;7432183,0;DF
SBBR;2021;9289693,0;Observado;0,0;9289693,0;DF
SBBR;2022;13044676,0;Observado;0,0;13044676,0;DF
SBBR;2023;14269901,0;Observado;0,0;14269901,0;DF
SBBR;2024;14431230,0;Observado;0,0;14431230,0;DF
SBBV;2004;101153,0;Observado;0,0;101153,0;RR
SBBV;2005;129368,0;Observado;0,0;129368,0;RR
SBBV;2006;139708,0;Observado;0,0;139708,0;RR
SBBV;2007;201741,0;Observado;0,0;201741,0;RR
SBBV;2008;199040,0;Observado;0,0;199040,0;RR
SBBV;2009;173217,0;Observado;0,0;173217,0;RR
SBBV;2010;217626,0;Observado;0,0;217626,0;RR
SBBV;2011;312068,0;Observado;0,0;312068,0;RR
SBBV;2012;310480,0;Observado;0,0;310480,0;RR
SBBV;2013;355477,0;Observado;0,0;355477,0;RR
SBBV;2014;368501,0;Observado;0,0;368501,0;RR
SBBV;2015;339741,0;Observado;0,0;339741,0;RR
