ICAO;Ano;Cenario;Sentido;Natureza;Passageiros
SBFI;2011;Observado;Total;Internacional;57343
SBFL;2011;Observado;Total;Internacional;146158
SBFZ;2011;Observado;Total;Internacional;207981
SBGL;2011;Observado;Total;Internacional;3580668
SBGR;2011;Observado;Total;Internacional;11039731
SBKP;2011;Observado;Total;Internacional;96429
SBMO;2011;Observado;Total;Internacional;5669
SBPA;2011;Observado;Total;Internacional;541901
SBPS;2011;Observado;Total;Internacional;3638
SBRF;2011;Observado;Total;Internacional;260707
SBSV;2011;Observado;Total;Internacional;331231
SBBE;2012;Observado;Total;Internacional;47668
SBBR;2012;Observado;Total;Internacional;501075
SBCF;2012;Observado;Total;Internacional;423585
SBCT;2012;Observado;Total;Internacional;92315
SBEG;2012;Observado;Total;Internacional;201843
SBFI;2012;Observado;Total;Internacional;59889
SBFL;2012;Observado;Total;Internacional;145998
SBFZ;2012;Observado;Total;Internacional;199279
SBGL;2012;Observado;Total;Internacional;4140470
SBGR;2012;Observado;Total;Internacional;11460533
SBKP;2012;Observado;Total;Internacional;86531
SBMO;2012;Observado;Total;Internacional;4155
SBPA;2012;Observado;Total;Internacional;601028
SBPS;2012;Observado;Total;Internacional;2581
SBRF;2012;Observado;Total;Internacional;247544
SBSV;2012;Observado;Total;Internacional;302787
SBBE;2013;Observado;Total;Internacional;51012
SBBR;2013;Observado;Total;Internacional;552212
SBCF;2013;Observado;Total;Internacional;401675
SBCT;2013;Observado;Total;Internacional;61735
SBEG;2013;Observado;Total;Internacional;220118
SBFI;2013;Observado;Total;Internacional;55654
SBFL;2013;Observado;Total;Internacional;137562
SBFZ;2013;Observado;Total;Internacional;207557
SBGL;2013;Observado;Total;Internacional;4310705
SBGR;2013;Observado;Total;Internacional;12305380
SBKP;2013;Observado;Total;Internacional;56593
SBMO;2013;Observado;Total;Internacional;2369
SBPA;2013;Observado;Total;Internacional;467851
SBPS;2013;Observado;Total;Internacional;7309
SBRF;2013;Observado;Total;Internacional;290484
SBSV;2013;Observado;Total;Internacional;326066
SBBE;2014;Observado;Total;Internacional;98233
SBBR;2014;Observado;Total;Internacional;639930
SBCF;2014;Observado;Total;Internacional;416315
SBCT;2014;Observado;Total;Internacional;138358
SBEG;2014;Observado;Total;Internacional;246853
SBFI;2014;Observado;Total;Internacional;77949
SBFL;2014;Observado;Total;Internacional;120484
SBFZ;2014;Observado;Total;Internacional;232013
SBGL;2014;Observado;Total;Internacional;4134967
SBGR;2014;Observado;Total;Internacional;13410968
SBJP;2014;Observado;Total;Internacional;71
SBKP;2014;Observado;Total;Internacional;107769
SBMO;2014;Observado;Total;Internacional;2178
SBPA;2014;Observado;Total;Internacional;589343
SBPS;2014;Observado;Total;Internacional;883
SBRF;2014;Observado;Total;Internacional;296492
SBSG;2014;Observado;Total;Internacional;47436
SBSV;2014;Observado;Total;Internacional;330708
SBBE;2015;Observado;Total;Internacional;117097
SBBR;2015;Observado;Total;Internacional;719947
SBCF;2015;Observado;Total;Internacional;377716
SBCT;2015;Observado;Total;Internacional;130656
SBEG;2015;Observado;Total;Internacional;230646
SBFI;2015;Observado;Total;Internacional;72944
SBFL;2015;Observado;Total;Internacional;140451
SBFZ;2015;Observado;Total;Internacional;233678
SBGL;2015;Observado;Total;Internacional;4043882
SBGR;2015;Observado;Total;Internacional;13193206
SBKP;2015;Observado;Total;Internacional;639873
SBMO;2015;Observado;Total;Internacional;983
SBPA;2015;Observado;Total;Internacional;501123
SBPS;2015;Observado;Total;Internacional;11944
SBRF;2015;Observado;Total;Internacional;298851
SBSG;2015;Observado;Total;Internacional;81869
SBSV;2015;Observado;Total;Internacional;375155
SBBE;2016;Observado;Total;Internacional;145652
SBBR;2016;Observado;Total;Internacional;616294
SBCB;2016;Observado;Total;Internacional;7089
SBCF;2016;Observado;Total;Internacional;311412
SBCT;2016;Observado;Total;Internacional;43602
SBEG;2016;Observado;Total;Internacional;140571
SBFI;2016;Observado;Total;Internacional;64517
SBFL;2016;Observado;Total;Internacional;175487
SBFZ;2016;Observado;Total;Internacional;225125
SBGL;2016;Observado;Total;Internacional;4277867
SBGR;2016;Observado;Total;Internacional;13113405
SBKP;2016;Observado;Total;Internacional;458484
SBMO;2016;Observado;Total;Internacional;1967
SBPA;2016;Observado;Total;Internacional;353648
SBPS;2016;Observado;Total;Internacional;42742
SBRF;2016;Observado;Total;Internacional;250285
SBSG;2016;Observado;Total;Internacional;93206
SBSV;2016;Observado;Total;Internacional;323710
SBBE;2017;Observado;Total;Internacional;129295
SBBR;2017;Observado;Total;Internacional;460663
SBCB;2017;Observado;Total;Internacional;4872
SBCF;2017;Observado;Total;Internacional;438263
SBCT;2017;Observado;Total;Internacional;53991
SBEG;2017;Observado;Total;Internacional;117870
SBFI;2017;Observado;Total;Internacional;63890
SBFL;2017;Observado;Total;Internacional;233783
SBFZ;2017;Observado;Total;Internacional;248597
SBGL;2017;Observado;Total;Internacional;4244413
SBGR;2017;Observado;Total;Internacional;13799106
SBJP;2017;Observado;Total;Internacional;5042
SBKP;2017;Observado;Total;Internacional;532086
SBMO;2017;Observado;Total;Internacional;6258
SBPA;2017;Observado;Total;Internacional;429112
SBPS;2017;Observado;Total;Internacional;71133
SBRF;2017;Observado;Total;Internacional;374387
SBSG;2017;Observado;Total;Internacional;81062
SBSV;2017;Observado;Total;Internacional;349221
SBBE;2018;Observado;Total;Internacional;169147
SBBR;2018;Observado;Total;Internacional;498502
SBCB;2018;Observado;Total;Internacional;9903
SBCF;2018;Observado;Total;Internacional;582211
SBCT;2018;Observado;Total;Internacional;76239
SBEG;2018;Observado;Total;Internacional;135318
SBFI;2018;Observado;Total;Internacional;123516
SBFL;2018;Observado;Total;Internacional;266778
SBFZ;2018;Observado;Total;Internacional;399669
SBGL;2018;Observado;Total;Internacional;4530809
SBGR;2018;Observado;Total;Internacional;14733616
SBJP;2018;Observado;Total;Internacional;3593
SBKP;2018;Observado;Total;Internacional;663006
SBMO;2018;Observado;Total;Internacional;19054
SBPA;2018;Observado;Total;Internacional;512227
SBPS;2018;Observado;Total;Internacional;56369
SBRF;2018;Observado;Total;Internacional;551322
SBSG;2018;Observado;Total;Internacional;91400
SBSV;2018;Observado;Total;Internacional;399305
SBBE;2019;Observado;Total;Internacional;165893
SBBR;2019;Observado;Total;Internacional;658590
SBCB;2019;Observado;Total;Internacional;5873
SBCF;2019;Observado;Total;Internacional;424761
SBCT;2019;Observado;Total;Internacional;77671
SBEG;2019;Observado;Total;Internacional;128852
SBFI;2019;Observado;Total;Internacional;73030
SBFL;2019;Observado;Total;Internacional;261195
SBFZ;2019;Observado;Total;Internacional;553289
SBGL;2019;Observado;Total;Internacional;4380422
SBGR;2019;Observado;Total;Internacional;14623447
SBJP;2019;Observado;Total;Internacional;1580
SBKP;2019;Observado;Total;Internacional;965248
SBMO;2019;Observado;Total;Internacional;13426
SBPA;2019;Observado;Total;Internacional;506756
SBPS;2019;Observado;Total;Internacional;41603
SBRF;2019;Observado;Total;Internacional;534753
SBSG;2019;Observado;Total;Internacional;89243
SBSV;2019;Observado;Total;Internacional;431349
SBBE;2020;Observado;Total;Internacional;36513
SBBR;2020;Observado;Total;Internacional;170833
SBCB;2020;Observado;Total;Internacional;3234
SBCF;2020;Observado;Total;Internacional;113985
SBCT;2020;Observado;Total;Internacional;15894
SBEG;2020;Observado;Total;Internacional;27131
SBFI;2020;Observado;Total;Internacional;24533
SBFL;2020;Observado;Total;Internacional;152431
SBFZ;2020;Observado;Total;Internacional;133014
SBGL;2020;Observado;Total;Internacional;1194330
SBGR;2020;Observado;Total;Internacional;4136765
SBJP;2020;Observado;Total;Internacional;384
SBKP;2020;Observado;Total;Internacional;334979
SBMO;2020;Observado;Total;Internacional;4534
SBPA;2020;Observado;Total;Internacional;112988
SBPS;2020;Observado;Total;Internacional;13945
SBRF;2020;Observado;Total;Internacional;128606
SBSG;2020;Observado;Total;Internacional;27601
SBSV;2020;Observado;Total;Internacional;118947
SBBE;2021;Observado;Total;Internacional;11739
SBBR;2021;Observado;Total;Internacional;90539
SBCF;2021;Observado;Total;Internacional;78038
SBCT;2021;Observado;Total;Internacional;1535
SBEG;2021;Observado;Total;Internacional;7428
SBFI;2021;Observado;Total;Internacional;934
SBFL;2021;Observado;Total;Internacional;13254
SBFZ;2021;Observado;Total;Internacional;68036
SBGL;2021;Observado;Total;Internacional;564351
SBGR;2021;Observado;Total;Internacional;3493897
SBKP;2021;Observado;Total;Internacional;197067
SBMO;2021;Observado;Total;Internacional;3350
SBPA;2021;Observado;Total;Internacional;48235
SBRF;2021;Observado;Total;Internacional;56623
SBSG;2021;Observado;Total;Internacional;7100
SBSV;2021;Observado;Total;Internacional;46928
SBBE;2022;Observado;Total;Internacional;63651
SBBR;2022;Observado;Total;Internacional;400839
SBCB;2022;Observado;Total;Internacional;694
SBCF;2022;Observado;Total;Internacional;212749
SBCT;2022;Observado;Total;Internacional;39011
SBEG;2022;Observado;Total;Internacional;50160
SBFI;2022;Observado;Total;Internacional;5912
SBFL;2022;Observado;Total;Internacional;161183
SBFZ;2022;Observado;Total;Internacional;234179
SBGL;2022;Observado;Total;Internacional;2384900
SBGR;2022;Observado;Total;Internacional;10674367
SBJP;2022;Observado;Total;Internacional;20
SBKP;2022;Observado;Total;Internacional;711635
SBMO;2022;Observado;Total;Internacional;14018
SBPA;2022;Observado;Total;Internacional;260575
SBPS;2022;Observado;Total;Internacional;346
SBRF;2022;Observado;Total;Internacional;169374
SBSG;2022;Observado;Total;Internacional;56023
SBSV;2022;Observado;Total;Internacional;175493
SBBE;2023;Observado;Total;Internacional;125015
SBBR;2023;Observado;Total;Internacional;559083
SBCB;2023;Observado;Total;Internacional;1736
SBCF;2023;Observado;Total;Internacional;377196
SBCT;2023;Observado;Total;Internacional;98660
SBEG;2023;Observado;Total;Internacional;123597
SBFI;2023;Observado;Total;Internacional;45501
SBFL;2023;Observado;Total;Internacional;391038
SBFZ;2023;Observado;Total;Internacional;291193
SBGL;2023;Observado;Total;Internacional;3564178
SBGR;2023;Observado;Total;Internacional;13862333
SBJP;2023;Observado;Total;Internacional;2703
SBKP;2023;Observado;Total;Internacional;950997
SBMO;2023;Observado;Total;Internacional;30388
SBPA;2023;Observado;Total;Internacional;403239
SBPS;2023;Observado;Total;Internacional;6555
SBRF;2023;Observado;Total;Internacional;307401
SBSG;2023;Observado;Total;Internacional;84182
SBSV;2023;Observado;Total;Internacional;293348
SBBE;2024;Observado;Total;Internacional;181107
SBBE;2024;Pessimista;Total;Internacional;181107
SBBE;2024;Tendencial;Total;Internacional;181107
SBBE;2024;Transformador;Total;Internacional;181107
SBBR;2024;Observado;Total;Internacional;717548
SBBR;2024;Pessimista;Total;Internacional;717548
SBBR;2024;Tendencial;Total;Internacional;717548
SBBR;2024;Transformador;Total;Internacional;717548
SBCB;2024;Observado;Total;Internacional;513
SBCB;2024;Pessimista;Total;Internacional;513
SBCB;2024;Tendencial;Total;Internacional;513
SBCB;2024;Transformador;Total;Internacional;513
SBCF;2024;Observado;Total;Internacional;549716
SBCF;2024;Pessimista;Total;Internacional;549716
SBCF;2024;Tendencial;Total;Internacional;549716
SBCF;2024;Transformador;Total;Internacional;549716
SBCT;2024;Observado;Total;Internacional;183843
SBCT;2024;Pessimista;Total;Internacional;183843
SBCT;2024;Tendencial;Total;Internacional;183843
SBCT;2024;Transformador;Total;Internacional;183843
SBEG;2024;Observado;Total;Internacional;141788
SBEG;2024;Pessimista;Total;Internacional;141788
SBEG;2024;Tendencial;Total;Internacional;141788
SBEG;2024;Transformador;Total;Internacional;141788
SBFI;2024;Observado;Total;Internacional;37860
SBFI;2024;Pessimista;Total;Internacional;37860
SBFI;2024;Tendencial;Total;Internacional;37860
SBFI;2024;Transformador;Total;Internacional;37860
SBFL;2024;Observado;Total;Internacional;884981
SBFL;2024;Pessimista;Total;Internacional;884981
SBFL;2024;Tendencial;Total;Internacional;884981
SBFL;2024;Transformador;Total;Internacional;884981
SBFZ;2024;Observado;Total;Internacional;433679
SBFZ;2024;Pessimista;Total;Internacional;433679
SBFZ;2024;Tendencial;Total;Internacional;433679
SBFZ;2024;Transformador;Total;Internacional;433679
SBGL;2024;Observado;Total;Internacional;4668561
SBGL;2024;Pessimista;Total;Internacional;4668561
SBGL;2024;Tendencial;Total;Internacional;4668561
SBGL;2024;Transformador;Total;Internacional;4668561
SBGR;2024;Observado;Total;Internacional;15539719
SBGR;2024;Pessimista;Total;Internacional;15539719
SBGR;2024;Tendencial;Total;Internacional;15539719
SBGR;2024;Transformador;Total;Internacional;15539719
SBJP;2024;Observado;Total;Internacional;1851
SBJP;2024;Pessimista;Total;Internacional;1851
SBJP;2024;Tendencial;Total;Internacional;1851
SBJP;2024;Transformador;Total;Internacional;1851
SBKP;2024;Observado;Total;Internacional;851394
SBKP;2024;Pessimista;Total;Internacional;851394
SBKP;2024;Tendencial;Total;Internacional;851394
SBKP;2024;Transformador;Total;Internacional;851394
SBMO;2024;Observado;Total;Internacional;36331
SBMO;2024;Pessimista;Total;Internacional;36331
SBMO;2024;Tendencial;Total;Internacional;36331
SBMO;2024;Transformador;Total;Internacional;36331
SBPA;2024;Observado;Total;Internacional;135946
SBPA;2024;Pessimista;Total;Internacional;135946
SBPA;2024;Tendencial;Total;Internacional;135946
SBPA;2024;Transformador;Total;Internacional;135946
SBPS;2024;Observado;Total;Internacional;33084
SBPS;2024;Pessimista;Total;Internacional;33084
SBPS;2024;Tendencial;Total;Internacional;33084
SBPS;2024;Transformador;Total;Internacional;33084
SBRF;2024;Observado;Total;Internacional;356911
SBRF;2024;Pessimista;Total;Internacional;356911
SBRF;2024;Tendencial;Total;Internacional;356911
SBRF;2024;Transformador;Total;Internacional;356911
SBSG;2024;Observado;Total;Internacional;92898
SBSG;2024;Pessimista;Total;Internacional;92898
SBSG;2024;Tendencial;Total;Internacional;92898
SBSG;2024;Transformador;Total;Internacional;92898
SBSV;2024;Observado;Total;Internacional;423441
SBSV;2024;Pessimista;Total;Internacional;423441
SBSV;2024;Tendencial;Total;Internacional;423441
SBSV;2024;Transformador;Total;Internacional;423441
SBGR;2025;Tendencial;Desembarque;Internacional;8363681,805
SBGR;2026;Tendencial;Desembarque;Internacional;8596217,686
SBGR;2027;Tendencial;Desembarque;Internacional;8783264,589
SBGR;2028;Tendencial;Desembarque;Internacional;8952055,241
SBGR;2029;Tendencial;Desembarque;Internacional;9114481,892
SBGR;2030;Tendencial;Desembarque;Internacional;9276790,293
SBGR;2031;Tendencial;Desembarque;Internacional;9437477,052
SBGR;2032;Tendencial;Desembarque;Internacional;9597926,406
SBGR;2033;Tendencial;Desembarque;Internacional;9759939,113
SBGR;2034;Tendencial;Desembarque;Internacional;9923838,021
SBGR;2035;Tendencial;Desembarque;Internacional;10089727,98
SBGR;2036;Tendencial;Desembarque;Internacional;10258860,65
SBGR;2037;Tendencial;Desembarque;Internacional;10431551,22
SBGR;2038;Tendencial;Desembarque;Internacional;10607771,92
SBGR;2039;Tendencial;Desembarque;Internacional;10787393,95
SBGR;2040;Tendencial;Desembarque;Internacional;10971189,29
SBGR;2041;Tendencial;Desembarque;Internacional;11158569,27
SBGR;2042;Tendencial;Desembarque;Internacional;11349558,65
SBGR;2043;Tendencial;Desembarque;Internacional;11545003,22
SBGR;2044;Tendencial;Desembarque;Internacional;11743788,93
SBGR;2045;Tendencial;Desembarque;Internacional;11947287,09
SBGR;2046;Tendencial;Desembarque;Internacional;12152942,98
SBGR;2047;Tendencial;Desembarque;Internacional;12362187,29
SBGR;2048;Tendencial;Desembarque;Internacional;12574017,99
