ICAO;Ano;Cenario;Sentido;Natureza;Passageiros
SBMO;2025;Tendencial;Desembarque;Internacional;20752,83456
SBMO;2026;Tendencial;Desembarque;Internacional;19346,50792
SBMO;2027;Tendencial;Desembarque;Internacional;19131,88645
SBMO;2028;Tendencial;Desembarque;Internacional;19156,86632
SBMO;2029;Tendencial;Desembarque;Internacional;19237,9151
SBMO;2030;Tendencial;Desembarque;Internacional;19326,49633
SBMO;2031;Tendencial;Desembarque;Internacional;19421,52435
SBMO;2032;Tendencial;Desembarque;Internacional;19523,78846
SBMO;2033;Tendencial;Desembarque;Internacional;19631,69635
SBMO;2034;Tendencial;Desembarque;Internacional;19742,97003
SBMO;2035;Tendencial;Desembarque;Internacional;19857,06396
SBMO;2036;Tendencial;Desembarque;Internacional;19972,85792
SBMO;2037;Tendencial;Desembarque;Internacional;20090,0643
SBMO;2038;Tendencial;Desembarque;Internacional;20209,66994
SBMO;2039;Tendencial;Desembarque;Internacional;20330,91161
SBMO;2040;Tendencial;Desembarque;Internacional;20455,76305
SBMO;2041;Tendencial;Desembarque;Internacional;20583,73308
SBMO;2042;Tendencial;Desembarque;Internacional;20714,74659
SBMO;2043;Tendencial;Desembarque;Internacional;20847,71492
SBMO;2044;Tendencial;Desembarque;Internacional;20980,76871
SBMO;2045;Tendencial;Desembarque;Internacional;21114,91834
SBMO;2046;Tendencial;Desembarque;Internacional;21244,6934
SBMO;2047;Tendencial;Desembarque;Internacional;21374,15054
SBMO;2048;Tendencial;Desembarque;Internacional;21499,52703
SBMO;2049;Tendencial;Desembarque;Internacional;21625,63508
SBMO;2050;Tendencial;Desembarque;Internacional;21752,56337
SBMO;2051;Tendencial;Desembarque;Internacional;21881,56324
SBMO;2052;Tendencial;Desembarque;Internacional;22012,99725
SBMO;2053;Tendencial;Desembarque;Internacional;22146,99759
SBMO;2054;Tendencial;Desembarque;Internacional;22283,6374
SBCB;2025;Tendencial;Desembarque;Internacional;1889,46652
SBCB;2026;Tendencial;Desembarque;Internacional;2015,693592
SBCB;2027;Tendencial;Desembarque;Internacional;2066,48194
SBCB;2028;Tendencial;Desembarque;Internacional;2092,910522
SBCB;2029;Tendencial;Desembarque;Internacional;2111,820303
SBCB;2030;Tendencial;Desembarque;Internacional;2129,023722
SBCB;2031;Tendencial;Desembarque;Internacional;2146,085845
SBCB;2032;Tendencial;Desembarque;Internacional;2163,424037
SBCB;2033;Tendencial;Desembarque;Internacional;2181,158075
SBCB;2034;Tendencial;Desembarque;Internacional;2199,324963
SBCB;2035;Tendencial;Desembarque;Internacional;2217,944438
SBCB;2036;Tendencial;Desembarque;Internacional;2237,028251
SBCB;2037;Tendencial;Desembarque;Internacional;2256,589533
SBCB;2038;Tendencial;Desembarque;Internacional;2276,639321
SBCB;2039;Tendencial;Desembarque;Internacional;2297,190858
SBCB;2040;Tendencial;Desembarque;Internacional;2318,256209
SBCB;2041;Tendencial;Desembarque;Internacional;2339,849367
SBCB;2042;Tendencial;Desembarque;Internacional;2361,983581
SBCB;2043;Tendencial;Desembarque;Internacional;2384,673637
SBCB;2044;Tendencial;Desembarque;Internacional;2407,380198
SBCB;2045;Tendencial;Desembarque;Internacional;2430,499065
SBCB;2046;Tendencial;Desembarque;Internacional;2452,980667
SBCB;2047;Tendencial;Desembarque;Internacional;2475,66865
SBCB;2048;Tendencial;Desembarque;Internacional;2497,57417
SBCB;2049;Tendencial;Desembarque;Internacional;2519,612502
SBCB;2050;Tendencial;Desembarque;Internacional;2542,031076
SBCB;2051;Tendencial;Desembarque;Internacional;2564,902549
SBCB;2052;Tendencial;Desembarque;Internacional;2588,253556
SBCB;2053;Tendencial;Desembarque;Internacional;2612,099032
SBCB;2054;Tendencial;Desembarque;Internacional;2636,450692
SBJP;2025;Tendencial;Desembarque;Internacional;1664,550089
SBJP;2026;Tendencial;Desembarque;Internacional;1753,553103
SBJP;2027;Tendencial;Desembarque;Internacional;1792,064202
SBJP;2028;Tendencial;Desembarque;Internacional;1815,264041
SBJP;2029;Tendencial;Desembarque;Internacional;1833,474916
SBJP;2030;Tendencial;Desembarque;Internacional;1850,662088
SBJP;2031;Tendencial;Desembarque;Internacional;1867,889675
SBJP;2032;Tendencial;Desembarque;Internacional;1885,447454
SBJP;2033;Tendencial;Desembarque;Internacional;1903,420361
SBJP;2034;Tendencial;Desembarque;Internacional;1921,839699
SBJP;2035;Tendencial;Desembarque;Internacional;1940,722572
SBJP;2036;Tendencial;Desembarque;Internacional;1960,082657
SBJP;2037;Tendencial;Desembarque;Internacional;1979,932746
SBJP;2038;Tendencial;Desembarque;Internacional;2000,285798
SBJP;2039;Tendencial;Desembarque;Internacional;2021,154912
SBJP;2040;Tendencial;Desembarque;Internacional;2042,553601
SBJP;2041;Tendencial;Desembarque;Internacional;2064,495677
SBJP;2042;Tendencial;Desembarque;Internacional;2086,995374
SBJP;2043;Tendencial;Desembarque;Internacional;2110,067241
SBJP;2044;Tendencial;Desembarque;Internacional;2133,15006
SBJP;2045;Tendencial;Desembarque;Internacional;2156,654828
SBJP;2046;Tendencial;Desembarque;Internacional;2179,489188
SBJP;2047;Tendencial;Desembarque;Internacional;2202,530168
SBJP;2048;Tendencial;Desembarque;Internacional;2224,748537
SBJP;2049;Tendencial;Desembarque;Internacional;2247,095949
SBJP;2050;Tendencial;Desembarque;Internacional;2269,829578
SBJP;2051;Tendencial;Desembarque;Internacional;2293,02443
SBJP;2052;Tendencial;Desembarque;Internacional;2316,707964
SBJP;2053;Tendencial;Desembarque;Internacional;2340,895275
SBJP;2054;Tendencial;Desembarque;Internacional;2365,59839
SBGR;2025;Pessimista;Desembarque;Internacional;8363681,805
SBGR;2026;Pessimista;Desembarque;Internacional;8570126,767
SBGR;2027;Pessimista;Desembarque;Internacional;8726311,018
SBGR;2028;Pessimista;Desembarque;Internacional;8860231,221
SBGR;2029;Pessimista;Desembarque;Internacional;8983907,735
SBGR;2030;Pessimista;Desembarque;Internacional;9105594,694
SBGR;2031;Pessimista;Desembarque;Internacional;9224326,532
SBGR;2032;Pessimista;Desembarque;Internacional;9341621,127
SBGR;2033;Pessimista;Desembarque;Internacional;9459285,406
SBGR;2034;Pessimista;Desembarque;Internacional;9577621,691
SBGR;2035;Pessimista;Desembarque;Internacional;9696697,116
SBGR;2036;Pessimista;Desembarque;Internacional;9817704,688
SBGR;2037;Pessimista;Desembarque;Internacional;9940898,243
SBGR;2038;Pessimista;Desembarque;Internacional;10066190,53
SBGR;2039;Pessimista;Desembarque;Internacional;10193391,73
SBGR;2040;Pessimista;Desembarque;Internacional;10323203,3
SBGR;2041;Pessimista;Desembarque;Internacional;10454989,05
SBGR;2042;Pessimista;Desembarque;Internacional;10588726,84
SBGR;2043;Pessimista;Desembarque;Internacional;10725205,93
SBGR;2044;Pessimista;Desembarque;Internacional;10863324,81
SBGR;2045;Pessimista;Desembarque;Internacional;11004380,71
SBGR;2046;Pessimista;Desembarque;Internacional;11145906,43
SBGR;2047;Pessimista;Desembarque;Internacional;11289255,05
SBGR;2048;Pessimista;Desembarque;Internacional;11433513,6
SBGR;2049;Pessimista;Desembarque;Internacional;11578853,97
SBGR;2050;Pessimista;Desembarque;Internacional;11725575,83
SBGR;2051;Pessimista;Desembarque;Internacional;11873944,42
SBGR;2052;Pessimista;Desembarque;Internacional;12024015,58
SBGR;2053;Pessimista;Desembarque;Internacional;12175803,27
SBGR;2054;Pessimista;Desembarque;Internacional;12329338,66
SBGL;2025;Pessimista;Desembarque;Internacional;2891726,463
SBGL;2026;Pessimista;Desembarque;Internacional;2915172,896
SBGL;2027;Pessimista;Desembarque;Internacional;2948562,094
SBGL;2028;Pessimista;Desembarque;Internacional;2982119,598
SBGL;2029;Pessimista;Desembarque;Internacional;3015075,237
SBGL;2030;Pessimista;Desembarque;Internacional;3048416,964
SBGL;2031;Pessimista;Desembarque;Internacional;3082041,299
SBGL;2032;Pessimista;Desembarque;Internacional;3116288,227
SBGL;2033;Pessimista;Desembarque;Internacional;3151287,775
SBGL;2034;Pessimista;Desembarque;Internacional;3186748,505
SBGL;2035;Pessimista;Desembarque;Internacional;3222489,427
SBGL;2036;Pessimista;Desembarque;Internacional;3258794,338
SBGL;2037;Pessimista;Desembarque;Internacional;3295705,543
SBGL;2038;Pessimista;Desembarque;Internacional;3333187,504
SBGL;2039;Pessimista;Desembarque;Internacional;3370919,443
SBGL;2040;Pessimista;Desembarque;Internacional;3409286,595
SBGL;2041;Pessimista;Desembarque;Internacional;3447869,115
SBGL;2042;Pessimista;Desembarque;Internacional;3486651,931
SBGL;2043;Pessimista;Desembarque;Internacional;3525985,985
SBGL;2044;Pessimista;Desembarque;Internacional;3565376,458
SBGL;2045;Pessimista;Desembarque;Internacional;3605565,723
SBGL;2046;Pessimista;Desembarque;Internacional;3645200,554
SBGL;2047;Pessimista;Desembarque;Internacional;3685185,958
SBGL;2048;Pessimista;Desembarque;Internacional;3725029,956
SBGL;2049;Pessimista;Desembarque;Internacional;3765117,886
SBGL;2050;Pessimista;Desembarque;Internacional;3805629,593
SBGL;2051;Pessimista;Desembarque;Internacional;3846698,008
SBGL;2052;Pessimista;Desembarque;Internacional;3888368,099
SBGL;2053;Pessimista;Desembarque;Internacional;3930660,203
SBGL;2054;Pessimista;Desembarque;Internacional;3973588,422
SBFL;2025;Pessimista;Desembarque;Internacional;568418,8579
SBFL;2026;Pessimista;Desembarque;Internacional;588933,8233
SBFL;2027;Pessimista;Desembarque;Internacional;602742,969
SBFL;2028;Pessimista;Desembarque;Internacional;614229,8831
SBFL;2029;Pessimista;Desembarque;Internacional;624845,5024
SBFL;2030;Pessimista;Desembarque;Internacional;635025,8062
SBFL;2031;Pessimista;Desembarque;Internacional;645048,0673
SBFL;2032;Pessimista;Desembarque;Internacional;654978,558
SBFL;2033;Pessimista;Desembarque;Internacional;665013,5083
SBFL;2034;Pessimista;Desembarque;Internacional;675207,6089
SBFL;2035;Pessimista;Desembarque;Internacional;685578,2752
SBFL;2036;Pessimista;Desembarque;Internacional;696329,8036
SBFL;2037;Pessimista;Desembarque;Internacional;707330,0978
SBFL;2038;Pessimista;Desembarque;Internacional;718548,8368
SBFL;2039;Pessimista;Desembarque;Internacional;729982,1034
SBFL;2040;Pessimista;Desembarque;Internacional;741633,1859
SBFL;2041;Pessimista;Desembarque;Internacional;753507,1635
SBFL;2042;Pessimista;Desembarque;Internacional;765609,7709
SBFL;2043;Pessimista;Desembarque;Internacional;777946,7881
SBFL;2044;Pessimista;Desembarque;Internacional;790350,9416
SBFL;2045;Pessimista;Desembarque;Internacional;802948,9194
SBFL;2046;Pessimista;Desembarque;Internacional;815181,1994
SBFL;2047;Pessimista;Desembarque;Internacional;827480,0512
SBFL;2048;Pessimista;Desembarque;Internacional;839587,7967
SBFL;2049;Pessimista;Desembarque;Internacional;851801,532
SBFL;2050;Pessimista;Desembarque;Internacional;864201,6991
SBFL;2051;Pessimista;Desembarque;Internacional;876812,03
SBFL;2052;Pessimista;Desembarque;Internacional;889641,481
SBFL;2053;Pessimista;Desembarque;Internacional;902695,0542
SBFL;2054;Pessimista;Desembarque;Internacional;915976,7415
SBKP;2025;Pessimista;Desembarque;Internacional;502852,5124
SBKP;2026;Pessimista;Desembarque;Internacional;527161,6186
SBKP;2027;Pessimista;Desembarque;Internacional;539603,5976
SBKP;2028;Pessimista;Desembarque;Internacional;548656,3165
SBKP;2029;Pessimista;Desembarque;Internacional;556701,2165
SBKP;2030;Pessimista;Desembarque;Internacional;564448,4547
SBKP;2031;Pessimista;Desembarque;Internacional;571732,5308
SBKP;2032;Pessimista;Desembarque;Internacional;578863,1249
SBKP;2033;Pessimista;Desembarque;Internacional;586037,275
SBKP;2034;Pessimista;Desembarque;Internacional;593230,3732
SBKP;2035;Pessimista;Desembarque;Internacional;600443,6771
SBKP;2036;Pessimista;Desembarque;Internacional;607755,4152
SBKP;2037;Pessimista;Desembarque;Internacional;615244,7072
SBKP;2038;Pessimista;Desembarque;Internacional;622916,4656
SBKP;2039;Pessimista;Desembarque;Internacional;630612,2869
SBKP;2040;Pessimista;Desembarque;Internacional;638488,4305
SBKP;2041;Pessimista;Desembarque;Internacional;646417,2888
SBKP;2042;Pessimista;Desembarque;Internacional;654363,114
SBKP;2043;Pessimista;Desembarque;Internacional;662431,6758
SBKP;2044;Pessimista;Desembarque;Internacional;670574,0483
SBKP;2045;Pessimista;Desembarque;Internacional;678944,5349
SBKP;2046;Pessimista;Desembarque;Internacional;687327,951
SBKP;2047;Pessimista;Desembarque;Internacional;695817,8186
SBKP;2048;Pessimista;Desembarque;Internacional;704458,9705
SBKP;2049;Pessimista;Desembarque;Internacional;713165,1653
SBKP;2050;Pessimista;Desembarque;Internacional;721932,4958
SBKP;2051;Pessimista;Desembarque;Internacional;730787,5049
SBKP;2052;Pessimista;Desembarque;Internacional;739736,5072
SBKP;2053;Pessimista;Desembarque;Internacional;748781,1116
SBKP;2054;Pessimista;Desembarque;Internacional;757922,8933
SBRF;2025;Pessimista;Desembarque;Internacional;244137,3328
SBRF;2026;Pessimista;Desembarque;Internacional;253339,3589
SBRF;2027;Pessimista;Desembarque;Internacional;259705,4128
SBRF;2028;Pessimista;Desembarque;Internacional;263892,6534
SBRF;2029;Pessimista;Desembarque;Internacional;267282,466
SBRF;2030;Pessimista;Desembarque;Internacional;270016,2737
SBRF;2031;Pessimista;Desembarque;Internacional;272662,0338
SBRF;2032;Pessimista;Desembarque;Internacional;275471,9364
SBRF;2033;Pessimista;Desembarque;Internacional;278466,5746
SBRF;2034;Pessimista;Desembarque;Internacional;281545,8674
SBRF;2035;Pessimista;Desembarque;Internacional;284690,6419
SBRF;2036;Pessimista;Desembarque;Internacional;287835,323
SBRF;2037;Pessimista;Desembarque;Internacional;290952,5495
SBRF;2038;Pessimista;Desembarque;Internacional;294094,4241
SBRF;2039;Pessimista;Desembarque;Internacional;297220,8295
SBRF;2040;Pessimista;Desembarque;Internacional;300439,6023
SBRF;2041;Pessimista;Desembarque;Internacional;303717,8842
SBRF;2042;Pessimista;Desembarque;Internacional;307046,9408
SBRF;2043;Pessimista;Desembarque;Internacional;310360,3324
SBRF;2044;Pessimista;Desembarque;Internacional;313680,6989
SBRF;2045;Pessimista;Desembarque;Internacional;316970,0136
SBRF;2046;Pessimista;Desembarque;Internacional;320180,9897
SBRF;2047;Pessimista;Desembarque;Internacional;323333,741
SBRF;2048;Pessimista;Desembarque;Internacional;326446,4993
SBRF;2049;Pessimista;Desembarque;Internacional;329575,0649
SBRF;2050;Pessimista;Desembarque;Internacional;332666,9481
SBRF;2051;Pessimista;Desembarque;Internacional;335775,9984
SBRF;2052;Pessimista;Desembarque;Internacional;338916,946
SBRF;2053;Pessimista;Desembarque;Internacional;342094,4025
SBRF;2054;Pessimista;Desembarque;Internacional;345310,4191
SBFZ;2025;Pessimista;Desembarque;Internacional;219226,9857
SBFZ;2026;Pessimista;Desembarque;Internacional;218429,6329
SBFZ;2027;Pessimista;Desembarque;Internacional;220203,1352
SBFZ;2028;Pessimista;Desembarque;Internacional;222362,396
SBFZ;2029;Pessimista;Desembarque;Internacional;224649,1025
SBFZ;2030;Pessimista;Desembarque;Internacional;226497,3018
SBFZ;2031;Pessimista;Desembarque;Internacional;228317,3312
SBFZ;2032;Pessimista;Desembarque;Internacional;230391,4385
SBFZ;2033;Pessimista;Desembarque;Internacional;232664,0638
SBFZ;2034;Pessimista;Desembarque;Internacional;234974,9611
SBFZ;2035;Pessimista;Desembarque;Internacional;237282,2487
SBFZ;2036;Pessimista;Desembarque;Internacional;239591,4043
SBFZ;2037;Pessimista;Desembarque;Internacional;241937,8661
SBFZ;2038;Pessimista;Desembarque;Internacional;244354,2838
SBFZ;2039;Pessimista;Desembarque;Internacional;246676,569
SBFZ;2040;Pessimista;Desembarque;Internacional;249095,5538
SBFZ;2041;Pessimista;Desembarque;Internacional;251486,2762
SBFZ;2042;Pessimista;Desembarque;Internacional;253814,4242
SBFZ;2043;Pessimista;Desembarque;Internacional;256123,5862
SBFZ;2044;Pessimista;Desembarque;Internacional;258403,8533
SBFZ;2045;Pessimista;Desembarque;Internacional;260751,4482
SBFZ;2046;Pessimista;Desembarque;Internacional;262976,2899
SBFZ;2047;Pessimista;Desembarque;Internacional;265162,2719
SBFZ;2048;Pessimista;Desembarque;Internacional;267385,3832
SBFZ;2049;Pessimista;Desembarque;Internacional;269595,5467
SBFZ;2050;Pessimista;Desembarque;Internacional;271753,1873
SBFZ;2051;Pessimista;Desembarque;Internacional;273914,5508
SBFZ;2052;Pessimista;Desembarque;Internacional;276094,329
SBFZ;2053;Pessimista;Desembarque;Internacional;278296,4409
SBFZ;2054;Pessimista;Desembarque;Internacional;280522,0558
SBCF;2025;Pessimista;Desembarque;Internacional;278742,0327
SBCF;2026;Pessimista;Desembarque;Internacional;279916,5313
SBCF;2027;Pessimista;Desembarque;Internacional;283339,5719
SBCF;2028;Pessimista;Desembarque;Internacional;287117,7307
SBCF;2029;Pessimista;Desembarque;Internacional;290931,9404
SBCF;2030;Pessimista;Desembarque;Internacional;294426,2649
SBCF;2031;Pessimista;Desembarque;Internacional;297981,6241
SBCF;2032;Pessimista;Desembarque;Internacional;301781,9371
SBCF;2033;Pessimista;Desembarque;Internacional;305785,2325
SBCF;2034;Pessimista;Desembarque;Internacional;309895,9844
SBCF;2035;Pessimista;Desembarque;Internacional;314090,9759
SBCF;2036;Pessimista;Desembarque;Internacional;318320,2563
SBCF;2037;Pessimista;Desembarque;Internacional;322568,5394
SBCF;2038;Pessimista;Desembarque;Internacional;326878,6526
SBCF;2039;Pessimista;Desembarque;Internacional;331213,839
SBCF;2040;Pessimista;Desembarque;Internacional;335660,9835
SBCF;2041;Pessimista;Desembarque;Internacional;340195,5574
SBCF;2042;Pessimista;Desembarque;Internacional;344812,2351
SBCF;2043;Pessimista;Desembarque;Internacional;349460,5108
SBCF;2044;Pessimista;Desembarque;Internacional;354168,64
SBCF;2045;Pessimista;Desembarque;Internacional;358903,058
SBCF;2046;Pessimista;Desembarque;Internacional;363573,8626
SBCF;2047;Pessimista;Desembarque;Internacional;368235,8007
SBCF;2048;Pessimista;Desembarque;Internacional;372936,1838
SBCF;2049;Pessimista;Desembarque;Internacional;377708,073
SBCF;2050;Pessimista;Desembarque;Internacional;382508,5427
SBCF;2051;Pessimista;Desembarque;Internacional;387380,3984
SBCF;2052;Pessimista;Desembarque;Internacional;392336,1706
SBCF;2053;Pessimista;Desembarque;Internacional;397380,3857
SBCF;2054;Pessimista;Desembarque;Internacional;402515,5148
SBSV;2025;Pessimista;Desembarque;Internacional;272689,7939
SBSV;2026;Pessimista;Desembarque;Internacional;275762,3861
SBSV;2027;Pessimista;Desembarque;Internacional;279286,0822
SBSV;2028;Pessimista;Desembarque;Internacional;282603,6828
SBSV;2029;Pessimista;Desembarque;Internacional;285740,5243
SBSV;2030;Pessimista;Desembarque;Internacional;288425,4286
SBSV;2031;Pessimista;Desembarque;Internacional;291103,728
SBSV;2032;Pessimista;Desembarque;Internacional;293966,5003
SBSV;2033;Pessimista;Desembarque;Internacional;297010,0984
SBSV;2034;Pessimista;Desembarque;Internacional;300133,2264
SBSV;2035;Pessimista;Desembarque;Internacional;303331,6361
SBSV;2036;Pessimista;Desembarque;Internacional;306534,8109
SBSV;2037;Pessimista;Desembarque;Internacional;309720,6551
SBSV;2038;Pessimista;Desembarque;Internacional;312936,1553
SBSV;2039;Pessimista;Desembarque;Internacional;316136,8183
SBSV;2040;Pessimista;Desembarque;Internacional;319423,7346
SBSV;2041;Pessimista;Desembarque;Internacional;322767,1774
SBSV;2042;Pessimista;Desembarque;Internacional;326160,4539
SBSV;2043;Pessimista;Desembarque;Internacional;329547,7991
SBSV;2044;Pessimista;Desembarque;Internacional;332914,5793
SBSV;2045;Pessimista;Desembarque;Internacional;336256,2771
SBSV;2046;Pessimista;Desembarque;Internacional;339470,9156
SBSV;2047;Pessimista;Desembarque;Internacional;342625,987
SBSV;2048;Pessimista;Desembarque;Internacional;345677,8825
SBSV;2049;Pessimista;Desembarque;Internacional;348730,8744
SBSV;2050;Pessimista;Desembarque;Internacional;351752,8396
SBSV;2051;Pessimista;Desembarque;Internacional;354796,0863
SBSV;2052;Pessimista;Desembarque;Internacional;357874,7098
SBSV;2053;Pessimista;Desembarque;Internacional;360992,8211
SBSV;2054;Pessimista;Desembarque;Internacional;364151,957
SBBR;2025;Pessimista;Desembarque;Internacional;379912,9289
SBBR;2026;Pessimista;Desembarque;Internacional;382174,7604
SBBR;2027;Pessimista;Desembarque;Internacional;386996,8934
SBBR;2028;Pessimista;Desembarque;Internacional;391937,6137
SBBR;2029;Pessimista;Desembarque;Internacional;396808,6222
SBBR;2030;Pessimista;Desembarque;Internacional;401413,8808
SBBR;2031;Pessimista;Desembarque;Internacional;406040,4802
SBBR;2032;Pessimista;Desembarque;Internacional;410867,3393
SBBR;2033;Pessimista;Desembarque;Internacional;415874,0767
SBBR;2034;Pessimista;Desembarque;Internacional;420993,832
SBBR;2035;Pessimista;Desembarque;Internacional;426181,2758
SBBR;2036;Pessimista;Desembarque;Internacional;431396,3735
SBBR;2037;Pessimista;Desembarque;Internacional;436651,2035
SBBR;2038;Pessimista;Desembarque;Internacional;441958,8068
SBBR;2039;Pessimista;Desembarque;Internacional;447283,2156
SBBR;2040;Pessimista;Desembarque;Internacional;452714,2293
SBBR;2041;Pessimista;Desembarque;Internacional;458234,7835
SBBR;2042;Pessimista;Desembarque;Internacional;463842,5447
SBBR;2043;Pessimista;Desembarque;Internacional;469503,6062
SBBR;2044;Pessimista;Desembarque;Internacional;475223,6658
SBBR;2045;Pessimista;Desembarque;Internacional;480982,8959
SBBR;2046;Pessimista;Desembarque;Internacional;486681,7737
SBBR;2047;Pessimista;Desembarque;Internacional;492386,7922
SBBR;2048;Pessimista;Desembarque;Internacional;498113,8959
SBBR;2049;Pessimista;Desembarque;Internacional;503916,0014
SBBR;2050;Pessimista;Desembarque;Internacional;509762,0563
SBBR;2051;Pessimista;Desembarque;Internacional;515691,8198
SBBR;2052;Pessimista;Desembarque;Internacional;521717,2465
SBBR;2053;Pessimista;Desembarque;Internacional;527842,8639
SBBR;2054;Pessimista;Desembarque;Internacional;534071,3079
SBPA;2025;Pessimista;Desembarque;Internacional;189749,7434
SBPA;2026;Pessimista;Desembarque;Internacional;232703,4014
SBPA;2027;Pessimista;Desembarque;Internacional;249574,9431
SBPA;2028;Pessimista;Desembarque;Internacional;257287,6529
SBPA;2029;Pessimista;Desembarque;Internacional;262256,025
SBPA;2030;Pessimista;Desembarque;Internacional;266315,9108
SBPA;2031;Pessimista;Desembarque;Internacional;270267,2415
SBPA;2032;Pessimista;Desembarque;Internacional;274366,8784
SBPA;2033;Pessimista;Desembarque;Internacional;278597,4979
SBPA;2034;Pessimista;Desembarque;Internacional;282928,4263
SBPA;2035;Pessimista;Desembarque;Internacional;287319,234
SBPA;2036;Pessimista;Desembarque;Internacional;291748,704
SBPA;2037;Pessimista;Desembarque;Internacional;296240,9696
SBPA;2038;Pessimista;Desembarque;Internacional;300783,2909
SBPA;2039;Pessimista;Desembarque;Internacional;305358,5257
SBPA;2040;Pessimista;Desembarque;Internacional;310027,506
SBPA;2041;Pessimista;Desembarque;Internacional;314782,6902
SBPA;2042;Pessimista;Desembarque;Internacional;319624,8998
SBPA;2043;Pessimista;Desembarque;Internacional;324542,6833
SBPA;2044;Pessimista;Desembarque;Internacional;329482,7774
SBPA;2045;Pessimista;Desembarque;Internacional;334471,2443
SBPA;2046;Pessimista;Desembarque;Internacional;339326,2952
SBPA;2047;Pessimista;Desembarque;Internacional;344185,0208
SBPA;2048;Pessimista;Desembarque;Internacional;348966,9367
SBPA;2049;Pessimista;Desembarque;Internacional;353793,563
SBPA;2050;Pessimista;Desembarque;Internacional;358669,2611
SBPA;2051;Pessimista;Desembarque;Internacional;363624,5799
SBPA;2052;Pessimista;Desembarque;Internacional;368668,3748
SBPA;2053;Pessimista;Desembarque;Internacional;373803,7008
SBPA;2054;Pessimista;Desembarque;Internacional;379032,1001
SBSG;2025;Pessimista;Desembarque;Internacional;45390,6302
SBSG;2026;Pessimista;Desembarque;Internacional;46951,08785
SBSG;2027;Pessimista;Desembarque;Internacional;47941,97896
SBSG;2028;Pessimista;Desembarque;Internacional;48731,14956
SBSG;2029;Pessimista;Desembarque;Internacional;49464,0309
SBSG;2030;Pessimista;Desembarque;Internacional;49949,02757
SBSG;2031;Pessimista;Desembarque;Internacional;50451,94616
SBSG;2032;Pessimista;Desembarque;Internacional;51070,25964
SBSG;2033;Pessimista;Desembarque;Internacional;51777,98665
SBSG;2034;Pessimista;Desembarque;Internacional;52515,70303
SBSG;2035;Pessimista;Desembarque;Internacional;53268,23844
SBSG;2036;Pessimista;Desembarque;Internacional;54003,78121
SBSG;2037;Pessimista;Desembarque;Internacional;54713,30232
SBSG;2038;Pessimista;Desembarque;Internacional;55422,53834
SBSG;2039;Pessimista;Desembarque;Internacional;56109,30959
SBSG;2040;Pessimista;Desembarque;Internacional;56825,9529
SBSG;2041;Pessimista;Desembarque;Internacional;57557,48116
SBSG;2042;Pessimista;Desembarque;Internacional;58300,25316
SBSG;2043;Pessimista;Desembarque;Internacional;59023,24936
SBSG;2044;Pessimista;Desembarque;Internacional;59741,29316
SBSG;2045;Pessimista;Desembarque;Internacional;60434,25684
SBSG;2046;Pessimista;Desembarque;Internacional;61081,59671
SBSG;2047;Pessimista;Desembarque;Internacional;61691,43501
SBSG;2048;Pessimista;Desembarque;Internacional;62281,77666
SBSG;2049;Pessimista;Desembarque;Internacional;62872,01596
SBSG;2050;Pessimista;Desembarque;Internacional;63435,1197
SBSG;2051;Pessimista;Desembarque;Internacional;63995,85532
SBSG;2052;Pessimista;Desembarque;Internacional;64560,64634
SBSG;2053;Pessimista;Desembarque;Internacional;65131,16011
SBSG;2054;Pessimista;Desembarque;Internacional;65707,83289
SBEG;2025;Pessimista;Desembarque;Internacional;93867,31293
SBEG;2026;Pessimista;Desembarque;Internacional;104687,026
SBEG;2027;Pessimista;Desembarque;Internacional;109427,4392
SBEG;2028;Pessimista;Desembarque;Internacional;111863,0494
SBEG;2029;Pessimista;Desembarque;Internacional;113621,2521
SBEG;2030;Pessimista;Desembarque;Internacional;115203,7848
SBEG;2031;Pessimista;Desembarque;Internacional;116733,5225
SBEG;2032;Pessimista;Desembarque;Internacional;118277,1761
SBEG;2033;Pessimista;Desembarque;Internacional;119854,2919
SBEG;2034;Pessimista;Desembarque;Internacional;121461,899
SBEG;2035;Pessimista;Desembarque;Internacional;123099,5668
SBEG;2036;Pessimista;Desembarque;Internacional;124763,1478
SBEG;2037;Pessimista;Desembarque;Internacional;126452,4428
SBEG;2038;Pessimista;Desembarque;Internacional;128172,2942
SBEG;2039;Pessimista;Desembarque;Internacional;129919,581
SBEG;2040;Pessimista;Desembarque;Internacional;131704,2788
SBEG;2041;Pessimista;Desembarque;Internacional;133524,4886
SBEG;2042;Pessimista;Desembarque;Internacional;135380,265
SBEG;2043;Pessimista;Desembarque;Internacional;137267,0287
SBEG;2044;Pessimista;Desembarque;Internacional;139189,1538
SBEG;2045;Pessimista;Desembarque;Internacional;141142,921
SBEG;2046;Pessimista;Desembarque;Internacional;143100,6079
SBEG;2047;Pessimista;Desembarque;Internacional;145081,2498
SBEG;2048;Pessimista;Desembarque;Internacional;147095,7492
SBEG;2049;Pessimista;Desembarque;Internacional;149147,4534
SBEG;2050;Pessimista;Desembarque;Internacional;151232,1691
SBEG;2051;Pessimista;Desembarque;Internacional;153354,8603
SBEG;2052;Pessimista;Desembarque;Internacional;155517,3529
SBEG;2053;Pessimista;Desembarque;Internacional;157720,66
SBEG;2054;Pessimista;Desembarque;Internacional;159965,6023
