ICAO;cenario;Ano; Carga (kg) 
SBAQ;Pessimista;2027;22173,18859
SBAQ;Pessimista;2028;25764,26093
SBAQ;Pessimista;2029;28195,61343
SBAQ;Pessimista;2030;29836,27628
SBAQ;Pessimista;2031;30973,81877
SBAQ;Pessimista;2032;31803,28312
SBAQ;Pessimista;2033;32448,23664
SBAQ;Pessimista;2034;32984,57152
SBAQ;Pessimista;2035;33457,96472
SBAQ;Pessimista;2036;33896,04793
SBAQ;Pessimista;2037;34315,35302
SBAQ;Pessimista;2038;34725,9694
SBAQ;Pessimista;2039;35133,97628
SBAQ;Pessimista;2040;35543,13023
SBAQ;Pessimista;2041;35955,58719
SBAQ;Pessimista;2042;36372,6269
SBAQ;Pessimista;2043;36794,82047
SBAQ;Pessimista;2044;37222,36925
SBAQ;Pessimista;2045;37655,14453
SBAQ;Pessimista;2046;38092,8869
SBAQ;Pessimista;2047;38535,17815
SBAQ;Pessimista;2048;38981,59711
SBAQ;Pessimista;2049;39431,67254
SBAQ;Pessimista;2050;39884,99218
SBAQ;Pessimista;2051;40341,16338
SBAQ;Pessimista;2052;40799,90282
SBAQ;Pessimista;2053;41260,98816
SBAQ;Pessimista;2054;41724,33074
SBAQ;Transformador;2025;10590,13043
SBAQ;Transformador;2026;17359,06034
SBAQ;Transformador;2027;22858,60803
SBAQ;Transformador;2028;26978,09186
SBAQ;Transformador;2029;30001,91663
SBAQ;Transformador;2030;32271,64394
SBAQ;Transformador;2031;34061,21262
SBAQ;Transformador;2032;35560,4409
SBAQ;Transformador;2033;36891,91661
SBAQ;Transformador;2034;38132,42134
SBAQ;Transformador;2035;39329,15141
SBAQ;Transformador;2036;40511,41241
SBAQ;Transformador;2037;41697,31354
SBAQ;Transformador;2038;42898,41086
SBAQ;Transformador;2039;44122,1102
SBAQ;Transformador;2040;45373,40243
SBAQ;Transformador;2041;46655,56134
SBAQ;Transformador;2042;47970,92345
SBAQ;Transformador;2043;49321,02317
SBAQ;Transformador;2044;50706,97254
SBAQ;Transformador;2045;52129,47802
SBAQ;Transformador;2046;53589,0789
SBAQ;Transformador;2047;55086,0944
SBAQ;Transformador;2048;56620,82521
SBAQ;Transformador;2049;58193,48501
SBAQ;Transformador;2050;59804,35191
SBAQ;Transformador;2051;61453,71576
SBAQ;Transformador;2052;63142,01329
SBAQ;Transformador;2053;64869,76618
SBAQ;Transformador;2054;66637,69928
SBAQ;Observado;2004;1485
SBAQ;Observado;2005;2040
SBAQ;Observado;2006;111147
SBAQ;Observado;2007;944
SBAQ;Observado;2011;0
SBAQ;Observado;2013;0
SBAQ;Observado;2014;9464
SBAQ;Observado;2016;0
SBAQ;Observado;2019;132
SBAQ;Observado;2020;418
SBAQ;Observado;2024;8450
SBAQ;Tendencial;2024;8450
SBAQ;Transformador;2024;8450
