Cenário Projeção;Natureza;ICAO;Atributo;Valor
Pessimista;domestico;N774;2031;762,1200166
Pessimista;domestico;N774;2032;770,8669726
Pessimista;domestico;N774;2033;776,9107602
Pessimista;domestico;N774;2034;784,3093089
Pessimista;domestico;N774;2035;789,0908764
Pessimista;domestico;N774;2036;795,5699751
Pessimista;domestico;N774;2037;800,0588494
Pessimista;domestico;N774;2038;805,9664359
Pessimista;domestico;N774;2039;810,745951
Pessimista;domestico;N774;2040;817,2931827
Pessimista;domestico;N774;2041;821,8344087
Pessimista;domestico;N774;2042;827,6727224
Pessimista;domestico;N774;2043;716,5351987
Pessimista;domestico;N774;2044;721,636322
Pessimista;domestico;N774;2045;725,0882289
Pessimista;domestico;N774;2046;729,3442387
Pessimista;domestico;N774;2047;731,2641031
Pessimista;domestico;N774;2048;734,1871881
Pessimista;domestico;N774;2049;736,2241746
Pessimista;domestico;N774;2050;739,9966473
Pessimista;domestico;N774;2051;742,249409
Pessimista;domestico;N774;2052;744,6464823
Pessimista;domestico;N774;2053;747,06134
Pessimista;domestico;N774;2054;749,4007256
Pessimista;domestico;N798;2025;263,9894867
Pessimista;domestico;N798;2026;254,3657027
Pessimista;domestico;N798;2027;253,4839979
Pessimista;domestico;N798;2028;254,6039658
Pessimista;domestico;N798;2029;257,2685412
Pessimista;domestico;N798;2030;260,634826
Pessimista;domestico;N798;2031;263,7802779
Pessimista;domestico;N798;2032;266,9181211
Pessimista;domestico;N798;2033;270,9488001
Pessimista;domestico;N798;2034;274,0711819
Pessimista;domestico;N798;2035;277,6741093
Pessimista;domestico;N798;2036;280,5837265
Pessimista;domestico;N798;2037;284,1656254
Pessimista;domestico;N798;2038;287,5519878
Pessimista;domestico;N798;2039;291,580642
Pessimista;domestico;N798;2040;294,9404019
Pessimista;domestico;N798;2041;298,7443801
Pessimista;domestico;N798;2042;302,3078946
Pessimista;domestico;N798;2043;306,4212063
Pessimista;domestico;N798;2044;310,2308945
Pessimista;domestico;N798;2045;314,3877853
Pessimista;domestico;N798;2046;318,3942366
Pessimista;domestico;N798;2047;322,4217499
Pessimista;domestico;N798;2048;327,0061276
Pessimista;domestico;N798;2049;331,2588129
Pessimista;domestico;N798;2050;335,7542536
Pessimista;domestico;N798;2051;340,2268763
Pessimista;domestico;N798;2052;344,9209231
Pessimista;domestico;N798;2053;349,8382459
Pessimista;domestico;N798;2054;354,7419954
Pessimista;domestico;N861;2025;404,7506115
Pessimista;domestico;N861;2026;408,08445
Pessimista;domestico;N861;2027;414,9114152
Pessimista;domestico;N861;2028;422,3634391
Pessimista;domestico;N861;2029;428,470392
Pessimista;domestico;N861;2030;436,7087965
Pessimista;domestico;N861;2031;443,6378586
Pessimista;domestico;N861;2032;388,8135559
Pessimista;domestico;N861;2033;394,6599491
